"","id","url","image_height","image_width","category_id","x_left","y_top","bbox_width","bbox_height","y_bottom","x_right","name","file_name_original","file_name","x_left_scaled","x_right_scaled","y_top_scaled","y_bottom_scaled","bbox_width_scaled","bbox_height_scaled","area"
"1","cjsga03745kcx0728mqnrd5kg","https://storage.googleapis.com/labelbox-193903.appspot.com/cjp8dfyxkyqd60980fbwe4pao%2F3187fce2-8f3b-d081-8fd5-0fca1d0632e6-117-pic_s08_2017_ne_q01-alsiclov_crimclov_whitclov_lucerne_birdtref_blacmedi_commvetc_blacknap_oxeydais_wildcarr.png",796,1418,1,92,331,44,68,398,135,"clover","117-pic_s08_2017_ne_q01-alsiclov_crimclov_whitclov_lucerne_birdtref_blacmedi_commvetc_blacknap_oxeydais_wildcarr.png","cjsga03745kcx0728mqnrd5kg.png",15,21,93,112,7,19,133
"2","cjsga03745kcx0728mqnrd5kg","https://storage.googleapis.com/labelbox-193903.appspot.com/cjp8dfyxkyqd60980fbwe4pao%2F3187fce2-8f3b-d081-8fd5-0fca1d0632e6-117-pic_s08_2017_ne_q01-alsiclov_crimclov_whitclov_lucerne_birdtref_blacmedi_commvetc_blacknap_oxeydais_wildcarr.png",796,1418,2,441,366,60,64,429,500,"oxeye daisy","117-pic_s08_2017_ne_q01-alsiclov_crimclov_whitclov_lucerne_birdtref_blacmedi_commvetc_blacknap_oxeydais_wildcarr.png","cjsga03745kcx0728mqnrd5kg.png",70,79,103,121,9,18,162
"3","cjsga03745kcx0728mqnrd5kg","https://storage.googleapis.com/labelbox-193903.appspot.com/cjp8dfyxkyqd60980fbwe4pao%2F3187fce2-8f3b-d081-8fd5-0fca1d0632e6-117-pic_s08_2017_ne_q01-alsiclov_crimclov_whitclov_lucerne_birdtref_blacmedi_commvetc_blacknap_oxeydais_wildcarr.png",796,1418,2,561,432,52,48,479,612,"oxeye daisy","117-pic_s08_2017_ne_q01-alsiclov_crimclov_whitclov_lucerne_birdtref_blacmedi_commvetc_blacknap_oxeydais_wildcarr.png","cjsga03745kcx0728mqnrd5kg.png",89,97,122,135,8,14,112
"4","cjsga03745kcx0728mqnrd5kg","https://storage.googleapis.com/labelbox-193903.appspot.com/cjp8dfyxkyqd60980fbwe4pao%2F3187fce2-8f3b-d081-8fd5-0fca1d0632e6-117-pic_s08_2017_ne_q01-alsiclov_crimclov_whitclov_lucerne_birdtref_blacmedi_commvetc_blacknap_oxeydais_wildcarr.png",796,1418,2,504,586,73,53,638,576,"oxeye daisy","117-pic_s08_2017_ne_q01-alsiclov_crimclov_whitclov_lucerne_birdtref_blacmedi_commvetc_blacknap_oxeydais_wildcarr.png","cjsga03745kcx0728mqnrd5kg.png",80,91,165,180,12,15,180
"5","cjsga03745kcx0728mqnrd5kg","https://storage.googleapis.com/labelbox-193903.appspot.com/cjp8dfyxkyqd60980fbwe4pao%2F3187fce2-8f3b-d081-8fd5-0fca1d0632e6-117-pic_s08_2017_ne_q01-alsiclov_crimclov_whitclov_lucerne_birdtref_blacmedi_commvetc_blacknap_oxeydais_wildcarr.png",796,1418,2,851,410,53,47,456,903,"oxeye daisy","117-pic_s08_2017_ne_q01-alsiclov_crimclov_whitclov_lucerne_birdtref_blacmedi_commvetc_blacknap_oxeydais_wildcarr.png","cjsga03745kcx0728mqnrd5kg.png",134,143,115,128,8,13,104
"6","cjsga03745kcx0728mqnrd5kg","https://storage.googleapis.com/labelbox-193903.appspot.com/cjp8dfyxkyqd60980fbwe4pao%2F3187fce2-8f3b-d081-8fd5-0fca1d0632e6-117-pic_s08_2017_ne_q01-alsiclov_crimclov_whitclov_lucerne_birdtref_blacmedi_commvetc_blacknap_oxeydais_wildcarr.png",796,1418,2,1137,572,76,61,632,1212,"oxeye daisy","117-pic_s08_2017_ne_q01-alsiclov_crimclov_whitclov_lucerne_birdtref_blacmedi_commvetc_blacknap_oxeydais_wildcarr.png","cjsga03745kcx0728mqnrd5kg.png",180,191,161,178,12,17,204
"7","cjsga03745kcx0728mqnrd5kg","https://storage.googleapis.com/labelbox-193903.appspot.com/cjp8dfyxkyqd60980fbwe4pao%2F3187fce2-8f3b-d081-8fd5-0fca1d0632e6-117-pic_s08_2017_ne_q01-alsiclov_crimclov_whitclov_lucerne_birdtref_blacmedi_commvetc_blacknap_oxeydais_wildcarr.png",796,1418,2,1275,627,72,63,689,1346,"oxeye daisy","117-pic_s08_2017_ne_q01-alsiclov_crimclov_whitclov_lucerne_birdtref_blacmedi_commvetc_blacknap_oxeydais_wildcarr.png","cjsga03745kcx0728mqnrd5kg.png",201,213,176,194,11,18,198
"8","cjsga03745kcx0728mqnrd5kg","https://storage.googleapis.com/labelbox-193903.appspot.com/cjp8dfyxkyqd60980fbwe4pao%2F3187fce2-8f3b-d081-8fd5-0fca1d0632e6-117-pic_s08_2017_ne_q01-alsiclov_crimclov_whitclov_lucerne_birdtref_blacmedi_commvetc_blacknap_oxeydais_wildcarr.png",796,1418,2,1159,713,75,72,784,1233,"oxeye daisy","117-pic_s08_2017_ne_q01-alsiclov_crimclov_whitclov_lucerne_birdtref_blacmedi_commvetc_blacknap_oxeydais_wildcarr.png","cjsga03745kcx0728mqnrd5kg.png",183,195,201,221,12,20,240
"9","cjsga03745kcx0728mqnrd5kg","https://storage.googleapis.com/labelbox-193903.appspot.com/cjp8dfyxkyqd60980fbwe4pao%2F3187fce2-8f3b-d081-8fd5-0fca1d0632e6-117-pic_s08_2017_ne_q01-alsiclov_crimclov_whitclov_lucerne_birdtref_blacmedi_commvetc_blacknap_oxeydais_wildcarr.png",796,1418,2,920,492,54,50,541,973,"oxeye daisy","117-pic_s08_2017_ne_q01-alsiclov_crimclov_whitclov_lucerne_birdtref_blacmedi_commvetc_blacknap_oxeydais_wildcarr.png","cjsga03745kcx0728mqnrd5kg.png",145,154,138,152,9,14,126
"10","cjsga03745kcx0728mqnrd5kg","https://storage.googleapis.com/labelbox-193903.appspot.com/cjp8dfyxkyqd60980fbwe4pao%2F3187fce2-8f3b-d081-8fd5-0fca1d0632e6-117-pic_s08_2017_ne_q01-alsiclov_crimclov_whitclov_lucerne_birdtref_blacmedi_commvetc_blacknap_oxeydais_wildcarr.png",796,1418,2,198,43,34,31,73,231,"oxeye daisy","117-pic_s08_2017_ne_q01-alsiclov_crimclov_whitclov_lucerne_birdtref_blacmedi_commvetc_blacknap_oxeydais_wildcarr.png","cjsga03745kcx0728mqnrd5kg.png",31,36,12,21,5,9,45
